MapCode,TH_Taxa,FIRE_Taxa,INV_Taxa,OVG_Taxa,TH_Taxa_km2,Nat2022km2,pro_FIRE,pro_INV,pro_OVG,EOOkm2,AOO1prc,Qualify,B1iii,B2iii
Dg6,3,0,0,2,0.37037037,8.1,0,0,0.666666667,13.8777985,2,0,LC,LC
Dg7,4,0,0,3,0.016389412,244.06,0,0,0.75,294.9471668,5,0,LC,LC
Dg8,3,0,0,1,0.008748906,342.9,0,0,0.333333333,503.8998912,10,0,LC,LC
Dg9,1,0,0,0,0.000834571,1198.22,0,0,0,6410.819074,50,0,LC,LC
Dn1,5,0,0,3,3.703703704,1.35,0,0,0.6,12.67384286,0,0,LC,LC
Dn2,0,0,0,0,0,1.01,0,0,0,1.378662051,0,0,LC,LC
Dn3,23,0,0,18,0.187571359,122.62,0,0,0.782608696,262.5722186,5,0,LC,LC
Dn4,43,0,0,36,0.22073922,194.8,0,0,0.837209302,386.1980345,8,1,CR,EN
Dn5,40,0,0,32,0.104050152,384.43,0,0,0.8,845.8349561,12,0,LC,LC
FFa1,18,4,13,9,0.34020034,52.91,0.222222222,0.722222222,0.5,887.8102549,12,0,LC,LC
FFa2,139,64,123,83,0.822777317,168.94,0.460431655,0.884892086,0.597122302,2080.24014,16,1,EN,EN
FFa3,178,92,170,126,1.297943707,137.14,0.516853933,0.95505618,0.707865169,2354.29011,21,1,EN,VU
FFa4,62,37,60,48,12.08576998,5.13,0.596774194,0.967741935,0.774193548,95.44640343,3,1,CR,EN
FFb1,25,11,15,10,0.096816668,258.22,0.44,0.6,0.4,8843.675429,53,0,LC,LC
FFb2,56,20,54,16,0.436783402,128.21,0.357142857,0.964285714,0.285714286,13057.50438,47,1,EN,VU
FFb3,7,3,4,3,0.071633238,97.72,0.428571429,0.571428571,0.428571429,6889.757159,36,0,LC,LC
FFb4,18,7,17,3,0.332901794,54.07,0.388888889,0.944444444,0.166666667,6731.781133,26,0,LC,LC
FFb5,3,3,1,1,0.031318509,95.79,1,0.333333333,0.333333333,4529.078702,35,0,LC,LC
FFb6,4,2,3,0,0.136658695,29.27,0.5,0.75,0,4361.308655,11,0,LC,LC
FFc1,71,18,52,38,0.182660149,388.7,0.253521127,0.732394366,0.535211268,3617.497062,34,1,EN,VU
FFd1,24,2,6,9,0.021685702,1106.72,0.083333333,0.25,0.375,6299.96488,50,0,LC,LC
FFd10,21,10,18,4,0.705408129,29.77,0.476190476,0.857142857,0.19047619,400.3505995,7,0,LC,LC
FFd11,12,7,10,1,0.19990005,60.03,0.583333333,0.833333333,0.083333333,983.3356171,5,0,LC,LC
FFd2,93,29,57,44,0.122845255,757.05,0.311827957,0.612903226,0.47311828,5498.405133,47,0,LC,LC
FFd3,104,25,90,55,0.162925133,638.33,0.240384615,0.865384615,0.528846154,2228.450893,26,1,EN,VU
FFd4,211,68,198,134,0.637963355,330.74,0.322274882,0.938388626,0.63507109,2999.305885,26,1,EN,VU
FFd5,202,70,188,112,2.274262553,88.82,0.346534653,0.930693069,0.554455446,1632.336265,12,1,CR,EN
FFd6,154,48,143,54,2.992034195,51.47,0.311688312,0.928571429,0.350649351,1823.977395,9,1,CR,EN
