"","LC","YEAR","BIOME","T_MAPCODE","km2"
"379","nat",1750,"Savanna","SVl26",703.5132
"380","nat",1750,"Savanna","SVl27",539.908
"381","nat",1750,"Savanna","SVl3",19839.1584
"382","nat",1750,"Savanna","SVl4",2722.0444
"383","nat",1750,"Savanna","SVl5",3568.624
"384","nat",1750,"Savanna","SVl6",760.2468
"385","nat",1750,"Savanna","SVl7",323.4536
"386","nat",1750,"Savanna","SVl8",3399.5656
"387","nat",1750,"Savanna","SVl9",3562.4732
"388","nat",1750,"Savanna","SVmp1",8796.3576
"389","nat",1750,"Savanna","SVmp2",2779.8908
"390","nat",1750,"Savanna","SVmp3",277.0592
"391","nat",1750,"Savanna","SVmp4",2804.706
"392","nat",1750,"Savanna","SVmp5",5315.1356
"393","nat",1750,"Savanna","SVmp6",3154.1124
"394","nat",1750,"Savanna","SVmp7",2225.5536
"395","nat",1750,"Savanna","SVmp8",310.438
"396","nat",1750,"Savanna","SVs1",2706.5924
"397","nat",1750,"Savanna","SVs2",2215.6012
"398","nat",1750,"Savanna","SVs3",1533.5048
"399","nat",1750,"Savanna","SVs4",803.1036
"400","nat",1750,"Savanna","SVs5",1812.6008
"401","nat",1750,"Savanna","SVs6",10185.4844
"402","nat",1750,"Savanna","SVs7",7762.2768
"403","nat",1750,"Savanna","SVs8",1527.7652
"404","nat",1750,"Succulent Karoo","SKk1",1673.774
"405","nat",1750,"Succulent Karoo","SKk2",129.9056
"406","nat",1750,"Succulent Karoo","SKk3",1320.886
"407","nat",1750,"Succulent Karoo","SKk4",983.548
"408","nat",1750,"Succulent Karoo","SKk5",988.53
"409","nat",1750,"Succulent Karoo","SKk6",59.8264
"410","nat",1750,"Succulent Karoo","SKk7",185.2136
"411","nat",1750,"Succulent Karoo","SKk8",2.86
"412","nat",1750,"Succulent Karoo","SKk9",142.7656
"413","nat",1750,"Succulent Karoo","SKn1",7582.1624
"414","nat",1750,"Succulent Karoo","SKn2",539.3324
"415","nat",1750,"Succulent Karoo","SKn3",3107.996
"416","nat",1750,"Succulent Karoo","SKn4",5040.6136
"417","nat",1750,"Succulent Karoo","SKn5",653.3436
"418","nat",1750,"Succulent Karoo","SKn6",396.7944
"419","nat",1750,"Succulent Karoo","SKn7",997.1488
"420","nat",1750,"Succulent Karoo","SKr1",1200.4012
"421","nat",1750,"Succulent Karoo","SKr10",127.5696
"422","nat",1750,"Succulent Karoo","SKr11",129.2752
"423","nat",1750,"Succulent Karoo","SKr12",612.1464
"424","nat",1750,"Succulent Karoo","SKr13",722.676
"425","nat",1750,"Succulent Karoo","SKr14",365.5632
"426","nat",1750,"Succulent Karoo","SKr15",241.7792
"427","nat",1750,"Succulent Karoo","SKr16",432.8448
"428","nat",1750,"Succulent Karoo","SKr17",260.7456
"429","nat",1750,"Succulent Karoo","SKr18",817.7808
"430","nat",1750,"Succulent Karoo","SKr19",371.9632
"431","nat",1750,"Succulent Karoo","SKr2",192.1136
"432","nat",1750,"Succulent Karoo","SKr3",170.7744
"433","nat",1750,"Succulent Karoo","SKr4",836.2248
"434","nat",1750,"Succulent Karoo","SKr5",18.3652
"435","nat",1750,"Succulent Karoo","SKr6",65.8728
"436","nat",1750,"Succulent Karoo","SKr7",327.1496
"437","nat",1750,"Succulent Karoo","SKr8",50.5576
"438","nat",1750,"Succulent Karoo","SKr9",3.2652
"439","nat",1750,"Succulent Karoo","SKs1",508.0212
"440","nat",1750,"Succulent Karoo","SKs10",136.4288
"441","nat",1750,"Succulent Karoo","SKs11",286.9792
"442","nat",1750,"Succulent Karoo","SKs12",469.9288
"443","nat",1750,"Succulent Karoo","SKs13",201.1296
"444","nat",1750,"Succulent Karoo","SKs14",838.9456
"445","nat",1750,"Succulent Karoo","SKs2",536.1004
"446","nat",1750,"Succulent Karoo","SKs3",331.4
"447","nat",1750,"Succulent Karoo","SKs4",449.044
"448","nat",1750,"Succulent Karoo","SKs5",566.1096
"449","nat",1750,"Succulent Karoo","SKs6",123.302
"450","nat",1750,"Succulent Karoo","SKs7",3151.7932
"451","nat",1750,"Succulent Karoo","SKs8",868.0312
"452","nat",1750,"Succulent Karoo","SKs9",917.3924
"453","nat",1750,"Succulent Karoo","SKt1",101.7792
"454","nat",1750,"Succulent Karoo","SKt2",7632.554
"455","nat",1750,"Succulent Karoo","SKt3",5357.996
"456","nat",1750,"Succulent Karoo","SKv1",540.74
"457","nat",1750,"Succulent Karoo","SKv10",240.126
"458","nat",1750,"Succulent Karoo","SKv11",1578.5704
"459","nat",1750,"Succulent Karoo","SKv13",2555.2608
"460","nat",1750,"Succulent Karoo","SKv14",793.3056
"461","nat",1750,"Succulent Karoo","SKv2",559.3864
"462","nat",1750,"Succulent Karoo","SKv3",928.5724
"463","nat",1750,"Succulent Karoo","SKv4",1318.3684
"464","nat",1750,"Succulent Karoo","SKv5",6988.3064
"465","nat",1750,"Succulent Karoo","SKv6",4714.4892
"466","nat",1750,"Succulent Karoo","SKv7",653.3552
"467","nat",1750,"Succulent Karoo","SKv8",4109.0248
"468","nat",1990,"Albany Thicket","AT15",14.5868
"469","nat",1990,"Albany Thicket","AT16",51.6708
"470","nat",1990,"Albany Thicket","AT17",596.6388
"471","nat",1990,"Albany Thicket","AT18",1053.0648
"472","nat",1990,"Albany Thicket","AT19",1066.2648
