"","T_MAPCODE","A3_fin","A3_source","A3_prclost","A2b_fin","A2b_source","A2b_prclost50"
"337","SKr3","LC","A3_nat",0,"LC","A2b",0
"338","SKr4","LC","A3_nat",1,"LC","A2b",0
"339","SKr5","LC","A3_nat",0,"LC","A2b",0
"340","SKr6","LC","A3_nat",0,"LC","A2b",0
"341","SKr7","LC","A3_nat",0,"LC","A2b",0
"342","SKr8","LC","A3_nat",0,"LC","A2b",0
"343","SKr9","LC","A3_nat",0,"LC","A2b",0
"344","SKs1","LC","A3_nat",39,"LC","A2b",18
"345","SKs10","LC","A3_nat",2,"LC","A2b",0
"346","SKs11","LC","A3_nat",0,"LC","A2b",0
"347","SKs12","LC","A3_nat, A3_wc",5,"LC","A2b",2
"348","SKs13","LC","A3_nat, A3_wc",44,"LC","A2b",27
"349","SKs14","LC","A3_nat",23,"LC","A2b",5
"350","SKs2","LC","A3_nat",2,"LC","A2b",1
"351","SKs3","LC","A3_nat",9,"LC","A2b",3
"352","SKs4","LC","A3_nat",2,"LC","A2b",1
"353","SKs5","LC","A3_nat",0,"LC","A2b",0
"354","SKs6","LC","A3_nat",0,"LC","A2b",0
"355","SKs7","LC","A3_nat",19,"LC","A2b",4
"356","SKs8","LC","A3_nat",16,"LC","A2b",6
"357","SKs9","LC","A3_nat",4,"LC","A2b",4
"358","SKt1","LC","A3_nat",0,"LC","A2b",1
"359","SKt2","LC","A3_nat",4,"LC","A2b",1
"360","SKt3","LC","A3_nat",3,"LC","A2b",1
"361","SKv1","LC","A3_nat",17,"LC","A2b",7
"362","SKv10","LC","A3_nat, A3_wc",6,"LC","A2b",3
"363","SKv11","LC","A3_nat, A3_wc",12,"LC","A2b",5
"364","SKv13","LC","A3_nat",2,"LC","A2b",1
"365","SKv14","LC","A3_nat",3,"LC","A2b",1
"366","SKv2","LC","A3_nat",0,"LC","A2b",1
"367","SKv3","LC","A3_nat",3,"LC","A2b",1
"368","SKv4","LC","A3_nat",0,"LC","A2b",0
"369","SKv5","LC","A3_nat",1,"LC","A2b",0
"370","SKv6","LC","A3_nat",1,"LC","A2b",1
"371","SKv7","LC","A3_nat, A3_wc",21,"LC","A2b",10
"372","SKv8","LC","A3_nat, A3_wc",4,"LC","A2b",2
"373","SVcb1","LC","A3_nat",23,"LC","A2b",9
"374","SVcb10","LC","A3_nat",36,"LC","A2b",20
"375","SVcb11","LC","A3_nat",24,"LC","A2b",9
"376","SVcb12","LC","A3_nat",38,"LC","A2b",16
"377","SVcb13","LC","A3_nat",7,"LC","A2b",3
"378","SVcb14","LC","A3_nat",42,"LC","A2b",7
"379","SVcb15","VU","A3_nat",60,"LC","A2b",22
"380","SVcb16","LC","A3_nat",18,"LC","A2b",5
"381","SVcb17","LC","A3_nat",8,"LC","A2b",2
"382","SVcb18","LC","A3_nat",21,"LC","A2b",8
"383","SVcb19","LC","A3_nat",11,"LC","A2b",7
"384","SVcb2","LC","A3_nat",3,"LC","A2b",1
"385","SVcb20","LC","A3_nat",38,"LC","A2b",18
"386","SVcb21","LC","A3_nat",27,"LC","A2b",10
"387","SVcb22","LC","A3_nat",12,"LC","A2b",13
"388","SVcb23","LC","A3_nat",43,"LC","A2b",20
"389","SVcb24","LC","A3_nat",11,"LC","A2b",3
"390","SVcb25","LC","A3_nat",8,"LC","A2b",4
"391","SVcb26","LC","A3_nat",13,"LC","A2b",6
"392","SVcb27","VU","A3_nat",52,"VU","A2b",39
"393","SVcb28","LC","A3_nat",22,"LC","A2b",13
"394","SVcb29","LC","A3_nat",4,"LC","A2b",1
"395","SVcb3","LC","A3_nat",33,"LC","A2b",10
"396","SVcb4","LC","A3_nat",11,"LC","A2b",4
"397","SVcb5","LC","A3_nat",2,"LC","A2b",0
"398","SVcb6","VU","A3_nat",69,"VU","A2b",43
"399","SVcb7","LC","A3_nat",27,"LC","A2b",20
"400","SVcb8","VU","A3_nat",54,"LC","A2b",28
"401","SVcb9","LC","A3_nat",16,"LC","A2b",7
"402","SVk1","LC","A3_nat",22,"LC","A2b",4
"403","SVk10","LC","A3_nat",5,"LC","A2b",2
"404","SVk11","LC","A3_nat",2,"LC","A2b",0
"405","SVk12","LC","A3_nat",3,"LC","A2b",2
"406","SVk13","LC","A3_nat",1,"LC","A2b",1
"407","SVk14","LC","A3_nat",5,"LC","A2b",3
"408","SVk15","LC","A3_nat",0,"LC","A2b",0
"409","SVk16","LC","A3_nat",0,"LC","A2b",0
"410","SVk17","LC","A3_nat",48,"LC","A2b",12
"411","SVk18","LC","A3_nat",5,"LC","A2b",2
"412","SVk2","LC","A3_nat",23,"LC","A2b",6
"413","SVk3","VU","A3_nat",58,"LC","A2b",14
"414","SVk4","LC","A3_nat",25,"LC","A2b",8
"415","SVk5","LC","A3_nat",3,"LC","A2b",2
"416","SVk6","LC","A3_nat",21,"LC","A2b",6
"417","SVk7","LC","A3_nat",2,"LC","A2b",1
"418","SVk8","LC","A3_nat",4,"LC","A2b",1
"419","SVk9","LC","A3_nat",5,"LC","A2b",3
"420","SVkd1","LC","A3_nat",0,"LC","A2b",0
"421","SVkd2","LC","A3_nat",0,"LC","A2b",0
"422","SVkd3","LC","A3_nat",0,"LC","A2b",0
"423","SVkd4","LC","A3_nat",0,"LC","A2b",0
"424","SVl1","LC","A3_nat",24,"LC","A2b",11
"425","SVl10","LC","A3_nat, A3_mpl",25,"LC","A2b",13
"426","SVl11","LC","A3_nat, A3_mpl",4,"LC","A2b",4
"427","SVl12","LC","A3_nat, A3_mpl",16,"LC","A2b",7
"428","SVl13","LC","A3_nat, A3_mpl",26,"LC","A2b",8
"429","SVl14","LC","A3_nat",23,"LC","A2b",4
"430","SVl15","LC","A3_nat",0,"LC","A2b",0
"431","SVl16","LC","A3_nat",13,"LC","A2b",5
"432","SVl17","VU","A3_nat",68,"VU","A2b",39
"433","SVl18","LC","A3_nat, A3_kzn",20,"LC","A2b",11
"434","SVl19","LC","A3_nat, A3_kzn",24,"LC","A2b",27
"435","SVl2","LC","A3_nat",0,"LC","A2b",0
"436","SVl20","VU","A3_nat, A3_kzn",52,"VU","A2b",41
"437","SVl21","LC","A3_nat, A3_kzn",15,"LC","A2b",11
"438","SVl22","LC","A3_nat",29,"LC","A2b",8
"439","SVl23","LC","A3_nat",33,"LC","A2b",10
"440","SVl24","EN","A3_nat",74,"VU","A2b",35
"441","SVl25","LC","A3_nat, A3_kzn",26,"LC","A2b",14
"442","SVl26","VU","A3_kzn",52,"LC","A2b",24
"443","SVl27","LC","A3_nat, A3_mpl",14,"LC","A2b",5
"444","SVl3","LC","A3_nat",25,"LC","A2b",9
"445","SVl4","LC","A3_nat",28,"LC","A2b",5
"446","SVl5","LC","A3_nat",17,"LC","A2b",6
