"","T_MAPCODE","T_BIOME","T_Name","RLE_EPL","RLE","Criteria_triggered","EPL"
"288","Dn2","Desert","Namib Lichen Fields","CR_WP","CR","B1i_rod, B2i_rod","WP"
"289","FFq1","Fynbos","Stinkfonteinberge Quartzite Fynbos","LC_WP","LC","","WP"
"290","NKb1","Nama-Karoo","Lower Gariep Broken Veld","LC_PP","LC","","PP"
"291","NKb2","Nama-Karoo","Blouputs Karroid Thornveld","LC_WP","LC","","WP"
"292","NKb5","Nama-Karoo","Kalahari Karroid Shrubland","LC_NP","LC","","NP"
"293","SVk10","Savanna","Kuruman Mountain Bushveld","LC_NP","LC","","NP"
"294","SVk11","Savanna","Molopo Bushveld","LC_PP","LC","","PP"
"295","SVk12","Savanna","Kathu Bushveld","LC_PP","LC","","PP"
"296","SVk13","Savanna","Olifantshoek Plains Thornveld","LC_PP","LC","","PP"
"297","SVk14","Savanna","Postmasburg Thornveld","LC_NP","LC","","NP"
"298","SVk15","Savanna","Koranna-Langeberg Mountain Bushveld","LC_MP","LC","","MP"
"299","SVk16","Savanna","Gordonia Plains Shrubland","LC_MP","LC","","MP"
"300","SVk4","Savanna","Kimberley Thornveld","LC_PP","LC","","PP"
"301","SVk5","Savanna","Vaalbos Rocky Shrubland","LC_PP","LC","","PP"
"302","SVk6","Savanna","Schmidtsdrif Thornveld","LC_NP","LC","","NP"
"303","SVk7","Savanna","Ghaap Plateau Vaalbosveld","LC_NP","LC","","NP"
"304","SVk8","Savanna","Kuruman Vaalbosveld","LC_NP","LC","","NP"
"305","SVk9","Savanna","Kuruman Thornveld","LC_NP","LC","","NP"
"306","SVkd1","Savanna","Gordonia Duneveld","LC_MP","LC","","MP"
"307","SVkd2","Savanna","Gordonia Kameeldoring Bushveld","LC_WP","LC","","WP"
"308","SVkd3","Savanna","Auob Duneveld","LC_WP","LC","","WP"
"309","SVkd4","Savanna","Nossob Bushveld","LC_WP","LC","","WP"
"310","SKs1","Succulent Karoo","Richtersveld Coastal Duneveld","CR_NP","CR","B1i_rod","NP"
"311","SKs2","Succulent Karoo","Northern Richtersveld Yellow Duneveld","LC_NP","LC","","NP"
"312","SKs3","Succulent Karoo","Southern Richtersveld Yellow Duneveld","LC_NP","LC","","NP"
"313","SKs4","Succulent Karoo","Richtersveld Sandy Coastal Scorpionstailveld","LC_NP","LC","","NP"
"314","SKr14","Succulent Karoo","Southern Richtersveld Inselberg Shrubland","LC_NP","LC","","NP"
"315","SKn2","Succulent Karoo","Namaqualand Shale Shrubland","LC_NP","LC","","NP"
"316","SKs5","Succulent Karoo","Richtersveld Red Duneveld","LC_NP","LC","","NP"
"317","SKs6","Succulent Karoo","Oograbies Plains Sandy Grassland","LC_NP","LC","","NP"
"318","SKr1","Succulent Karoo","Central Richtersveld Mountain Shrubland","LC_WP","LC","","WP"
"319","SKr10","Succulent Karoo","Die Plate Succulent Shrubland","LC_NP","LC","","NP"
"320","SKr11","Succulent Karoo","Rooiberg Quartz Vygieveld","LC_WP","LC","","WP"
"321","SKr12","Succulent Karoo","Kosiesberg Succulent Shrubland","LC_NP","LC","","NP"
"322","SKr13","Succulent Karoo","Southern Richtersveld Scorpionstailveld","CR_NP","CR","B1i_sup","NP"
"323","SKr15","Succulent Karoo","Anenous Plateau Shrubland","LC_NP","LC","","NP"
