"","T_MAPCODE","YEAR","km2","prop_nat","A3"
"329","AZd4",2020,26.306,0.936756641264867,"LC"
"330","AZd4",2022,26.27,0.935474681290506,"LC"
"331","AZi1",1750,1363.9048,1,"LC"
"332","AZi1",1990,1228.31,0.900583383825616,"LC"
"333","AZi1",2014,1215.0272,0.890844580941426,"LC"
"334","AZi1",2018,1202.8604,0.881924016984177,"LC"
"335","AZi1",2020,1201.3252,0.880798425227333,"LC"
"336","AZi1",2022,1200.1276,0.879920358077778,"LC"
"337","AZi3",1750,1919.2856,1,"LC"
"338","AZi3",1990,1916.4824,0.998539456556127,"LC"
"339","AZi3",2014,1916.2628,0.998425038983255,"LC"
"340","AZi3",2018,1918.3268,0.990717965339661,"LC"
"341","AZi3",2020,1915.0608,0.989031242892371,"LC"
"342","AZi3",2022,1914.6164,0.988801732954962,"LC"
"343","AZi5",1750,5176.9952,1,"LC"
"344","AZi5",1990,4872.7072,0.94122304768604,"LC"
"345","AZi5",2014,4846.1312,0.936089567940878,"LC"
"346","AZi5",2018,4829.3608,0.932850159876525,"LC"
"347","AZi5",2020,4825.7488,0.93215245785818,"LC"
"348","AZi5",2022,4815.0392,0.930083767510544,"LC"
"349","AZi6",1750,5302.936,1,"LC"
"350","AZi6",1990,4679.0044,0.882342234565908,"LC"
"351","AZi6",2014,4604.9892,0.868384834363455,"LC"
"352","AZi6",2018,4554.0108,0.858771593698283,"LC"
"353","AZi6",2020,4543.3332,0.856758067606322,"LC"
"354","AZi6",2022,4534.9768,0.855182261298269,"LC"
"355","AZi7",1750,2130.1056,1,"LC"
"356","AZi7",1990,2001.3092,0.939535204264052,"LC"
"357","AZi7",2014,1995.2164,0.936674876588278,"LC"
"358","AZi7",2018,1985.2444,0.931993418542254,"LC"
"359","AZi7",2020,1984.6736,0.931725450606768,"LC"
"360","AZi7",2022,1983.6596,0.931249417869236,"LC"
"361","AZi8",1750,407.1792,1,"LC"
"362","AZi8",1990,181.9356,0.446819483902911,"VU"
"363","AZi8",2014,164.8276,0.404803585251899,"VU"
"364","AZi8",2018,146.2984,0.35929733149434,"VU"
"365","AZi8",2020,144.5692,0.355050552680491,"VU"
"366","AZi8",2022,143.7668,0.353079921567703,"VU"
"367","AZs3",1750,12.9664,1,"LC"
"368","AZs3",1990,12.0748,0.93123766041461,"LC"
"369","AZs3",2014,12.0156,0.926672013820336,"LC"
"370","AZs3",2018,11.976,0.923617966436328,"LC"
"371","AZs3",2020,11.9752,0.923556268509378,"LC"
"372","AZs3",2022,11.972,0.923309476801579,"LC"
"373","CB1",1750,2355.4844,1,"LC"
"374","CB1",1990,1049.2892,0.445466418712007,"VU"
"375","CB1",2014,917.1276,0.389358384203266,"VU"
"376","CB1",2018,862.2444,0.366018242408251,"VU"
"377","CB1",2020,848.6136,0.360232039031785,"VU"
"378","CB1",2022,832.548,0.353412275777615,"VU"
"379","CB2",1750,1122.1012,1,"LC"
"380","CB2",1990,501.3016,0.44675257454497,"VU"
"381","CB2",2014,434.8344,0.38751798857358,"VU"
"382","CB2",2018,411.364,0.366585572338814,"VU"
"383","CB2",2020,407.9236,0.363519672058103,"VU"
"384","CB2",2022,401.0516,0.357395713585528,"VU"
