"","type","zone","get","extent","RLE","EPL","RLE_EPL","realm"
"267","SVs7","Savanna","T4.2",4782.816,"LC","NP","LC_NP","ter"
"268","SVs4","Savanna","T4.2",325.9052,"EN","NP","EN_NP","ter"
"269","SVs5","Savanna","T4.2",250.3336,"EN","NP","EN_NP","ter"
"270","SVs8","Savanna","T4.2",848.6824,"EN","PP","EN_PP","ter"
"271","AZd1","Azonal Vegetation","MT2.1",0.3172,"CR","NP","CR_NP","ter"
"272","AZa3","Azonal Vegetation","T5.2",530.9836,"LC","PP","LC_PP","ter"
"273","AZi3","Azonal Vegetation","T5.2",1914.6164,"LC","MP","LC_MP","ter"
"274","Dn1","Desert","MT2.1",1.3532,"CR","NP","CR_NP","ter"
"275","Dn3","Desert","T5.5",122.5984,"LC","PP","LC_PP","ter"
"276","Dg1","Desert","T5.5",332.8976,"LC","WP","LC_WP","ter"
"277","Dg10","Desert","T5.5",2084.2796,"LC","NP","LC_NP","ter"
"278","Dg2","Desert","T5.5",361.3932,"LC","WP","LC_WP","ter"
"279","Dg3","Desert","T5.5",156.4688,"LC","WP","LC_WP","ter"
"280","Dg4","Desert","T5.5",107.1928,"LC","WP","LC_WP","ter"
"281","Dg5","Desert","T5.5",591.9344,"LC","WP","LC_WP","ter"
"282","Dg6","Desert","T5.5",8.1068,"LC","WP","LC_WP","ter"
"283","Dg7","Desert","T5.5",244.0452,"LC","NP","LC_NP","ter"
"284","Dg8","Desert","T5.5",342.9244,"LC","NP","LC_NP","ter"
"285","Dg9","Desert","T5.5",1198.2608,"LC","PP","LC_PP","ter"
"286","Dn4","Desert","T5.5",194.7612,"CR","NP","CR_NP","ter"
"287","Dn5","Desert","T5.5",384.4044,"LC","PP","LC_PP","ter"
"288","Dn2","Desert","T5.5",1.01,"CR","WP","CR_WP","ter"
"289","FFq1","Fynbos","T3.2",49.024,"LC","WP","LC_WP","ter"
"290","NKb1","Nama-Karoo","T5.1",4637.4332,"LC","PP","LC_PP","ter"
"291","NKb2","Nama-Karoo","T5.1",601.392,"LC","WP","LC_WP","ter"
"292","NKb5","Nama-Karoo","T5.1",8543.5324,"LC","NP","LC_NP","ter"
"293","SVk10","Savanna","T4.1",5539.6844,"LC","NP","LC_NP","ter"
"294","SVk11","Savanna","T4.2",13624.6808,"LC","PP","LC_PP","ter"
"295","SVk12","Savanna","T4.2",7252.688,"LC","PP","LC_PP","ter"
"296","SVk13","Savanna","T4.1",8409.2552,"LC","PP","LC_PP","ter"
"297","SVk14","Savanna","T4.1",880.8224,"LC","NP","LC_NP","ter"
"298","SVk15","Savanna","T4.1",1617.2148,"LC","MP","LC_MP","ter"
"299","SVk16","Savanna","T4.1",7905.7652,"LC","MP","LC_MP","ter"
"300","SVk4","Savanna","T4.1",12455.3472,"LC","PP","LC_PP","ter"
"301","SVk5","Savanna","T4.1",1418.3416,"LC","PP","LC_PP","ter"
"302","SVk6","Savanna","T4.1",4220.3792,"LC","NP","LC_NP","ter"
"303","SVk7","Savanna","T4.1",13112.6348,"LC","NP","LC_NP","ter"
"304","SVk8","Savanna","T4.1",3235.7984,"LC","NP","LC_NP","ter"
"305","SVk9","Savanna","T4.1",5504.2496,"LC","NP","LC_NP","ter"
"306","SVkd1","Savanna","T4.2",37004.7196,"LC","MP","LC_MP","ter"
"307","SVkd2","Savanna","T4.1",2239.5116,"LC","WP","LC_WP","ter"
"308","SVkd3","Savanna","T4.1",2897.932,"LC","WP","LC_WP","ter"
"309","SVkd4","Savanna","T4.1",762.2544,"LC","WP","LC_WP","ter"
"310","SKs1","Succulent Karoo","T5.2",311.0076,"CR","NP","CR_NP","ter"
"311","SKs2","Succulent Karoo","T5.2",524.9028,"LC","NP","LC_NP","ter"
"312","SKs3","Succulent Karoo","T5.2",302.72,"LC","NP","LC_NP","ter"
"313","SKs4","Succulent Karoo","T5.2",441.4408,"LC","NP","LC_NP","ter"
"314","SKr14","Succulent Karoo","T5.2",365.2156,"LC","NP","LC_NP","ter"
"315","SKn2","Succulent Karoo","T5.2",534.2036,"LC","NP","LC_NP","ter"
"316","SKs5","Succulent Karoo","T5.2",565.6908,"LC","NP","LC_NP","ter"
"317","SKs6","Succulent Karoo","T4.5",122.7916,"LC","NP","LC_NP","ter"
"318","SKr1","Succulent Karoo","T3.2",1199.7416,"LC","WP","LC_WP","ter"
"319","SKr10","Succulent Karoo","T5.2",127.1424,"LC","NP","LC_NP","ter"
"320","SKr11","Succulent Karoo","T5.2",128.1204,"LC","WP","LC_WP","ter"
"321","SKr12","Succulent Karoo","T5.2",611.8968,"LC","NP","LC_NP","ter"
