"","T_MAPCODE","1750","1990","2014","2018","2020","2022","pnat_1990","pnat_2014","pnat_2018","pnat_2020","pnat_2022","ARD9022","ARD9014","ARD1422","ARD1822","ROD9022","ROD9014","ROD1422","ROD1822","nat_2040_ard9022","nat_2040_ard9014","nat_2040_ard1422","nat_2040_ard1822","pred2040lm","pred2040poly","pred2040spline","prclost50_9022","prclost50_9014","prclost50_1422","prclost50_1822","prclost50_lm","prclost50_poly","prclost50_spline","A2b_9022","A2b_9014","A2b_1422","A2b_1822","A2b_lm","A2b_poly","A2b_spline"
"188","FRs14",866.5308,402.4664,349.238,328.2744,326.7788,326.5452,0.464457120277779,0.403030105796586,0.3788375439165,0.377111581030934,0.376842000307433,2.3725375,2.21785,2.8366,0.432299999999998,0.589499520953799,0.551064635457768,0.812225473745697,0.123783780688241,283.839525,291.5739,260.6364,380.8514,279.411330841122,265.904813051241,323.629678662421,29,28,35,5,31,34,20,"LC","LC","VU","LC","VU","VU","LC"
"189","FRs15",276.4104,266.4712,265.6312,264.466,264.3352,264.244,0.964041873967116,0.961002914506835,0.95678744359836,0.956314234196687,0.955984290026714,0.0695999999999994,0.0350000000000013,0.173399999999994,0.055499999999995,0.0261191453335293,0.0131346276820915,0.0652784763235621,0.0208936299651528,262.9912,264.7212,257.8012,263.6962,263.150603738318,259.07204787922,263.320284713376,1,1,3,1,1,3,1,"LC","LC","LC","LC","LC","LC","LC"
"190","FRs16",1347.8644,1138.6972,1121.8012,1106.1484,1104.8436,1104.1168,0.844815843492862,0.832280457885823,0.820667420253848,0.819699370352092,0.819160146970274,1.0806375,0.703999999999998,2.21055000000001,0.507900000000006,0.0949012169345812,0.0618250400545464,0.19705363124946,0.0452754017378486,1084.665325,1103.4972,1028.1697,1113.3022,1085.27553457944,1041.98642570284,1096.13316942675,5,3,10,2,5,8,4,"LC","LC","LC","LC","LC","LC","LC"
"191","FRs17",207.1384,81.99,73.4424,64.9092,64.3528,64.1688,0.395822310107638,0.35455714633308,0.313361501295752,0.310675374532197,0.309787079556471,0.5569125,0.35615,1.1592,0.185099999999998,0.679244420051225,0.434382241736797,1.57837979151008,0.25203424724682,54.144375,64.1825,24.03,72.7350000000001,54.281185046729,31.359818170717,61.7973773885351,34,22,71,11,34,62,25,"VU","LC","EN","LC","VU","EN","LC"
"192","FRs18",118.7224,118.688,118.6804,118.6776,118.6768,118.6764,0.999710248445112,0.999646233566707,0.999622649137821,0.999615910729568,0.999612541525441,0.000362500000000043,0.000316666666666521,0.000500000000000611,0.000299999999999301,0.000305422620652503,0.0002668059674664,0.00042129955746746,0.000252779734479578,118.669875,118.672166666667,118.663,118.673,118.669887850467,118.66441966012,118.673477388535,0,0,0,0,0,0,0,"LC","LC","LC","LC","LC","LC","LC"
"193","FRs19",373.15,177.624,162.5376,158.1052,156.052,155.8908,0.476012327482246,0.435582473536112,0.423704140426102,0.418201795524588,0.417769797668498,0.679162499999999,0.6286,0.830849999999998,0.553599999999996,0.382359647344953,0.353893617979552,0.511174029886007,0.340598113913332,143.665875,146.194,136.0815,149.944,143.180448598131,136.516768161929,158.793907643312,19,18,23,16,19,23,11,"LC","LC","LC","LC","LC","LC","LC"
"194","FRs2",218.8368,118.3448,106.4268,104.63,104.4872,104.3384,0.540790214442909,0.486329538724748,0.478118853867357,0.477466312795654,0.476786354031863,0.4377,0.496583333333334,0.261050000000001,0.0729000000000006,0.369851484813866,0.419607226792672,0.245285961806613,0.0684977843926536,96.4598,93.5156333333333,105.2923,114.6998,95.1634616822429,103.172762670564,102.684611783439,18,21,11,3,20,13,13,"LC","LC","LC","LC","LC","LC","LC"
"195","FRs20",46.9912,16.0672,13.2532,11.6716,11.5236,11.4372,0.341919338088834,0.282035785423654,0.248378419789237,0.245228893920564,0.243390251791825,0.1446875,0.11725,0.227,0.0585999999999998,0.900514713204541,0.729747560246963,1.71279389128663,0.442157365768266,8.832825,10.2047,4.71720000000001,13.1372,8.75727663551396,5.71881174870717,10.5304958598726,45,36,71,18,45,64,34,"VU","VU","EN","LC","VU","EN","VU"
"196","FRs3",3217.472,3162.512,3154.8108,3149.6392,3148.9484,3148.2664,0.982918266266187,0.980524710082947,0.978917361207805,0.978702658484674,0.978490690828079,0.445175000000006,0.320883333333332,0.818050000000028,0.343200000000024,0.0140766264286114,0.0101464700634601,0.0259302396200757,0.0108786238464768,3140.25325,3146.46783333333,3121.6095,3145.352,3140.72494766355,3126.29205264161,3141.33294808917,1,1,1,1,1,1,1,"LC","LC","LC","LC","LC","LC","LC"
"197","FRs4",491.7496,254.0312,232.4208,213.4232,211.8412,211.3784,0.516586490360135,0.472640547140252,0.434007877179768,0.430790792712389,0.429849663324586,1.3329,0.900433333333333,2.6303,0.511200000000002,0.524699328271488,0.354457772641051,1.13169733517826,0.219945891245535,187.3862,209.009533333333,122.5162,228.4712,187.549910280373,138.060380587805,206.446229936306,26,18,52,10,26,46,19,"LC","LC","EN","LC","LC","VU","LC"
