"","T_MAPCODE","A3_fin","A3_prplost","A2b_fin","A2b_prplost50","B1_fin","B2_fin","RoD","D3_fin","D3_prpdeg","prp_invmax","RLE","Criteria_triggered","Criteria_used"
"230","Gd8","LC",0.142688326078971,"LC",0.00114016312720249,"LC","LC",0,"LC",0,0.000315903316929309,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"231","Gd9","LC",0.159534242501033,"LC",0,"LC","LC",0,"LC",0,0,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"232","Gh1","LC",0.027726496571127,"LC",0.00838730490636585,"LC","LC",0,"LC",0,0.00229009325660796,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"233","Gh10","EN",0.776111892739829,"VU",0.314777015964929,"LC","LC",0.6,"LC",0,0.00194095837064358,"EN","A3_nat","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"234","Gh11","VU",0.548515478419952,"LC",0.201765334416043,"CR","EN",0.4,"LC",0,0.00775880179849179,"CR","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, "
"235","Gh12","LC",0.328886126413981,"LC",0.156621546071102,"LC","LC",0.3,"LC",0,0.00356896071429864,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"236","Gh13","LC",0.436102127160627,"LC",0.123711320426831,"LC","LC",0.2,"LC",0,0.00287150441517818,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"237","Gh14","VU",0.599941119420647,"LC",0.190983899342195,"VU","LC",0.4,"LC",0,0.000726648486488169,"VU","A3_nat, B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, B2i_invmax, B2iii_sp, "
"238","Gh15","LC",0.363959972644466,"LC",0.126382925848947,"LC","LC",0.3,"LC",0,0.0023718511753898,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"239","Gh2","LC",0.209793668009431,"LC",0.0612203792426513,"LC","LC",0.1,"LC",0,0.00319085208979471,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"240","Gh3","LC",0.077301481086698,"LC",0.0275611687723451,"LC","LC",0.1,"LC",0,0.000389020745636691,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"241","Gh4","LC",0.044279661770029,"LC",0.0145892420060235,"LC","LC",0,"LC",0,0.00110201462995562,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"242","Gh5","LC",0.47939687389587,"LC",0.136172361543368,"LC","LC",0.3,"LC",0,0.000652598339537726,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"243","Gh6","LC",0.345023016567317,"LC",0.105234226926381,"LC","LC",0.2,"LC",0,0.00208911426048074,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"244","Gh7","LC",0.181815868537361,"LC",0.0584560332493996,"LC","LC",0.1,"LC",0,0.000996155021999071,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"245","Gh8","LC",0.178160433868378,"LC",0.101667251022151,"LC","LC",0.2,"LC",0,0.00596393813472693,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"246","Gh9","LC",0.249820674958761,"LC",0.0636958492139441,"LC","LC",0.1,"LC",0,0,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"247","Gm1","LC",0.340875927321638,"LC",0.075006473638316,"LC","LC",0.2,"LC",0,0.0039792316695995,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"248","Gm10","EN",0.832470667785827,"EN",0.669777113500347,"CR","EN",1.3,"LC",0,0.0363562501911073,"CR","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, "
"249","Gm11","VU",0.599446273502431,"LC",0.251144351924597,"LC","LC",0.5,"LC",0,0.0183794846883399,"VU","A3_nat","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"250","Gm12","EN",0.709731171595421,"VU",0.349805338330905,"VU","LC",0.7,"LC",0,0.0216291017422286,"EN","A3_nat","A3_nat, A2b, B1i_rod, B2i_rod, B2i_invmax, B2iii_sp, "
"251","Gm13","LC",0.458560874671382,"LC",0.12835798090896,"LC","LC",0.3,"LC",0,0.00380179353452419,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"252","Gm14","LC",0.213389362763005,"LC",0.0966113969607545,"LC","LC",0.2,"LC",0,0.0189145335615009,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"253","Gm15","VU",0.533520569479168,"VU",0.391286082946822,"EN","LC",0.8,"LC",0,0.0347755162796146,"EN","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, B2i_invmax, B2iii_sp, "
"254","Gm16","LC",0.448027207953068,"LC",0.169131997055548,"LC","LC",0.3,"LC",0,0.0202116934386684,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"255","Gm17","LC",0.376486920796262,"LC",0.110941369376986,"LC","LC",0.2,"LC",0,0.0138946707454836,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"256","Gm19","LC",0.386565975209508,"LC",0.0804404141016361,"LC","LC",0.2,"LC",0,0.0167199174180485,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"257","Gm2","LC",0.245717560431967,"LC",0.00510450973722198,"LC","LC",0,"LC",0,0.00124678264517156,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"258","Gm20","LC",0.096369429256972,"LC",0.0845663921770459,"LC","LC",0.2,"LC",0,0,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"259","Gm21","LC",0.231066255116122,"LC",0.0704871942926187,"LC","LC",0.1,"LC",0,0.00650839172026325,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"260","Gm22","VU",0.625111161462663,"LC",0.171583010382303,"LC","LC",0.3,"LC",0,0.0409445419584988,"VU","A3_nat","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"261","Gm23","LC",0.447002758192624,"LC",0.0689069845035402,"LC","LC",0.1,"LC",0,0.0386518955054234,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"262","Gm24","LC",0.066831980162381,"LC",0.0117641116168277,"LC","LC",0,"LC",0,0.0156008914795131,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"263","Gm25","EN",0.758994636749874,"VU",0.317246555987284,"CR","EN",0.6,"LC",0,0.0872532885228337,"CR","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, "
"264","Gm26","LC",0.070452176609374,"LC",0.0200739810639775,"LC","LC",0,"LC",0,0.0289404891066513,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"265","Gm27","LC",0.025823452696794,"LC",0.00774448569756372,"LC","LC",0,"LC",0,0.00931286952792329,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"266","Gm28","LC",0.024709296132328,"LC",0.0071079561269223,"LC","LC",0,"LC",0,0.0453274498667482,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"267","Gm29","LC",0.039205537993433,"LC",0.0122720887235626,"LC","LC",0,"LC",0,0.00290903998497739,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"268","Gm3","VU",0.601141541732428,"LC",0.20946106184844,"VU","LC",0.4,"LC",0,0.0125097630062683,"VU","A3_nat, B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, B2i_invmax, B2iii_sp, "
"269","Gm30","LC",0.216068546037991,"LC",0.165749290465641,"LC","LC",0.3,"LC",0,0.0269811852255563,"LC","","A3_nat, A3_mpl, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"270","Gm31","LC",0.392429105146865,"LC",0.121416611276936,"LC","LC",0.2,"LC",0,0.0179102718284935,"LC","","A3_nat, A3_mpl, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"271","Gm4","LC",0.477523531106969,"LC",0.131888188711303,"LC","LC",0.3,"LC",0,0.00992119735592279,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"272","Gm5","LC",0.290287030816785,"LC",0.0369642313933872,"LC","LC",0.1,"LC",0,0.0219564347608977,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"273","Gm6","LC",0.44751617454603,"LC",0.146055989708347,"LC","LC",0.3,"LC",0,0.000534311352447431,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"274","Gm7","LC",0.080829594920195,"LC",0.0338066410677852,"LC","LC",0.1,"LC",0,0.000144824689713102,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
