"","T_MAPCODE","T_BIOME","T_Name","get","extent","RLE_EPL","RLE","Criteria_triggered","EPL"
"454","SVs2","Savanna","Thukela Thornveld","T4.2",1631.75,"LC_PP","LC","","PP"
"455","SVs3","Savanna","KwaZulu-Natal Hinterland Thornveld","T4.2",1014.296,"LC_PP","LC","","PP"
"456","SVcb29","Savanna","Central Sandy Mountain Bushveld",NA,373.6608,"LC_WP","LC","","WP"
"457","SVcb4","Savanna","Dwarsberg-Swartruggens Mountain Bushveld","T4.2",3661.8716,"LC_PP","LC","","PP"
"458","Gh13","Grassland","Klerksdorp Thornveld","T4.5",2123.7648,"LC_PP","LC","","PP"
"459","SVcb5","Savanna","Pilanesberg Mountain Bushveld","T4.2",359.8116,"LC_WP","LC","","WP"
"460","Gh14","Grassland","Western Highveld Sandy Grassland","T4.5",3675.5048,"EN_NP","EN","B1i_rod","NP"
"461","SVcb3","Savanna","Zeerust Thornveld","T4.1",889.586,"LC_PP","LC","","PP"
"462","Gm2","Grassland","Senqu Montane Shrubland","T4.5",2818.7752,"LC_NP","LC","","NP"
"463","SVk3","Savanna","Schweizer-Reneke Bushveld","T4.1",576.2632,"VU_PP","VU","A3_nat","PP"
