"","T_MAPCODE","A3_fin","A3_prclost","A2b_fin","A2b_prclost50","B1_fin","B2_fin","RoD","D3_fin","D3_prcdeg","prpinv_max","RLE","Criteria_triggered","Criteria_used","X1750","X2022","pnat_2022","ROD9022","prclost50_9022","expert_change"
"79","Dn1","CR",92,"EN",61,"CR","CR",1.2,"LC",0,0,"CR","A3_nat, B1i_rod, B2i_rod","A3_nat, A2b, B1i_rod, B2i_rod, D3_inv",17.0928,1.3532,0.0791678367499766,1.21430507861919,61,"RLE not adjusted"
"80","Dn2","LC",35,"VU",30,"CR","CR",0.6,"LC",0,NA,"CR","B1i_rod, B2i_rod","A3_nat, A2b, B1i_rod, B2i_rod, ",1.5428,1.01,0.654653876069484,0.596763857737904,30,"RLE not adjusted"
"81","Dn3","LC",12,"LC",6,"LC","LC",0.1,"LC",0,0,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",139.9224,122.5984,0.876188515920253,0.119901560906738,6,"RLE not adjusted"
"82","Dn4","LC",10,"LC",5,"CR","EN",0.1,"LC",0,0,"CR","B1iii_sp","A3_nat, A2b, B1iii_sp, B2iii_sp, D3_inv",217.0148,194.7612,0.897455841721394,0.0985682063644554,5,"RLE not adjusted"
"83","Dn5","LC",8,"LC",3,"LC","LC",0.1,"LC",0,0,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",418.2756,384.4044,0.919021812412677,0.0628857391355774,3,"RLE not adjusted"
"84","FFa1","EN",71,"VU",42,"CR","EN",0.8,"LC",0,0.0251346227918464,"CR","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, D3_inv",180.0652,52.9628,0.29413123690752,0.830194029105752,42,"RLE not adjusted"
"85","FFa2","VU",62,"VU",44,"EN","EN",0.9,"LC",0,0.165440253805905,"EN","B1i_rod, B1iii_sp, B2i_rod, B2iii_sp","A3_nat, A3_wc, A2b, B1i_rod, B1iii_sp, B2i_rod, B2iii_sp, D3_inv",501.6496,168.948,0.336784879326127,0.8789512845078,44,"RLE not adjusted"
"86","FFa3","EN",71,"VU",43,"EN","VU",0.9,"LC",0,0.149086566676107,"EN","A3_nat, B1i_rod, B1iii_sp","A3_nat, A2b, B1i_rod, B1iii_sp, B2i_rod, B2iii_sp, D3_inv",477.154,136.9996,0.287118205023955,0.867968056413707,43,"RLE not adjusted"
"87","FFa4","CR",96,"CR",95,"CR","EN",1.9,"LC",21,0.193869582194455,"CR","A3_coct, A2b, B1i_rod, B1iii_sp","A3_coct, A2b, B1i_rod, B1iii_sp, B2i_rod, B2iii_sp, D3_coct; D3_inv",35.8392,5.122,0.142916136520904,1.90396908946662,95,"RLE not adjusted"
"88","FFb1","LC",6,"LC",3,"LC","LC",0.1,"LC",0,0.00616671029783305,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",279.0688,258.2252,0.925310174408605,0.0642760422988233,3,"RLE not adjusted"
"89","FFb2","LC",2,"LC",1,"EN","VU",0,"LC",0,0.109039458125466,"EN","B1iii_sp","A3_nat, A3_wc, A2b, B1iii_sp, B2iii_sp, D3_inv",134.5308,128.2068,0.952992177256063,0.0262102138428605,1,"RLE not adjusted"
"90","FFb3","LC",1,"LC",0,"LC","LC",0,"LC",0,0.00809667290301187,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",97.8776,97.7068,0.99825496334197,0.00337380536619065,0,"RLE not adjusted"
