"","T_MAPCODE","D3_fin","D3_source","D3_prcdeg","prpinv_max","D3_inv"
"323","SKn6","LC","D3_inv",0,0.000422982023264011,"LC"
"324","SKn7","LC","",0,NA,NA
"325","SKr1","LC","",0,NA,NA
"326","SKr10","LC","",0,NA,NA
"327","SKr11","LC","",0,NA,NA
"328","SKr12","LC","",0,NA,NA
"329","SKr13","LC","D3_inv",0,0,"LC"
"330","SKr14","LC","",0,NA,NA
"331","SKr15","LC","D3_inv",0,0,"LC"
"332","SKr16","LC","",0,NA,NA
"333","SKr17","LC","",0,NA,NA
"334","SKr18","LC","D3_inv",0,0,"LC"
"335","SKr19","LC","D3_inv",0,0,"LC"
"336","SKr2","LC","D3_inv",0,0,"LC"
"337","SKr3","LC","",0,NA,NA
"338","SKr4","LC","D3_inv",0,0,"LC"
"339","SKr5","LC","",0,NA,NA
"340","SKr6","LC","",0,NA,NA
"341","SKr7","LC","",0,NA,NA
"342","SKr8","LC","",0,NA,NA
"343","SKr9","LC","",0,NA,NA
"344","SKs1","LC","",0,NA,NA
"345","SKs10","LC","",0,NA,NA
"346","SKs11","LC","",0,NA,NA
"347","SKs12","LC","D3_inv",0,0.000211558258799974,"LC"
"348","SKs13","LC","D3_inv",0,0.0168764354956228,"LC"
"349","SKs14","LC","D3_inv",0,0.00039812774372747,"LC"
"350","SKs2","LC","D3_inv",0,0,"LC"
"351","SKs3","LC","",0,NA,NA
"352","SKs4","LC","D3_inv",0,0,"LC"
"353","SKs5","LC","D3_inv",0,0,"LC"
"354","SKs6","LC","",0,NA,NA
"355","SKs7","LC","D3_inv",0,0.000305825423131993,"LC"
"356","SKs8","LC","D3_inv",0,0,"LC"
"357","SKs9","LC","D3_inv",0,0.000187625064538501,"LC"
"358","SKt1","LC","D3_inv",0,0.000655295060417415,"LC"
"359","SKt2","LC","D3_inv",0,0.00247249537596763,"LC"
"360","SKt3","LC","D3_inv",0,0.00132207043490695,"LC"
"361","SKv1","LC","D3_inv",0,0.00544217808556765,"LC"
"362","SKv10","LC","D3_lk; D3_inv",19,0.000236889743734797,"LC"
"363","SKv11","LC","D3_lk; D3_inv",24,0.00113733469864136,"LC"
"364","SKv13","LC","D3_step; D3_inv",0,0.000680358699872075,"LC"
"365","SKv14","LC","D3_step; D3_inv",0,0.000620868675355361,"LC"
"366","SKv2","LC","D3_inv",0,0.000539172574710581,"LC"
"367","SKv3","LC","D3_inv",0,0.000784504464277804,"LC"
"368","SKv4","LC","D3_inv",0,0,"LC"
"369","SKv5","LC","D3_inv",0,0.00184661036596381,"LC"
"370","SKv6","LC","D3_inv",0,0.0000777776437275667,"LC"
"371","SKv7","LC","D3_inv",0,0.00280180231011663,"LC"
"372","SKv8","LC","D3_inv",0,0.00116598209346128,"LC"
"373","SVcb1","LC","D3_inv",0,0.000000469770355893324,"LC"
"374","SVcb10","LC","D3_inv",0,0.028162048889202,"LC"
"375","SVcb11","LC","D3_inv",0,0.00815434857686687,"LC"
