"","T_MAPCODE","EOO","AOO","sp_tot","sp_fire","sp_inv","sp_overg","ext2022","sp_km2","prp_fire","prp_inv","prp_overg","B1iii_sp","B2iii_sp"
"170","FOz1",125260.6447,59,11,6,8,1,632.212,0.02,0.5,0.7,0.1,"LC","LC"
"171","FOz2",181409.8919,61,13,5,7,6,182.4208,0.07,0.4,0.5,0.5,"LC","LC"
"172","FOz3",151896.5129,183,22,6,11,7,884.3512,0.02,0.3,0.5,0.3,"LC","LC"
"173","FOz4",47077.72723,50,10,3,5,3,288.9104,0.03,0.3,0.5,0.3,"LC","LC"
"174","FOz5",178728.6377,182,53,22,30,21,946.1864,0.06,0.4,0.6,0.4,"LC","LC"
"175","FOz6",51589.81548,14,8,1,2,1,150.9288,0.05,0.1,0.2,0.1,"LC","LC"
"176","FOz7",25652.53,82,44,15,24,16,514.9484,0.09,0.3,0.5,0.4,"LC","LC"
"177","FOz8",4701.764351,33,14,2,2,5,244.2452,0.06,0.1,0.1,0.4,"LC","LC"
"178","FOz9",40154.37645,19,1,1,1,1,81.2604,0.01,1,1,1,"LC","LC"
"179","FRa1",2225.363994,24,36,8,19,17,174.4068,0.21,0.2,0.5,0.5,"LC","LC"
"180","FRa2",723.0662765,8,38,21,38,31,36.5332,1.04,0.6,1,0.8,"CR","EN"
"181","FRc1",5168.441968,1,86,44,85,75,12.802,6.72,0.5,1,0.9,"EN","CR"
"182","FRc2",6229.923698,10,63,20,51,47,28.494,2.21,0.3,0.8,0.7,"EN","EN"
"183","FRd1",3622.143145,20,13,1,4,5,197.2376,0.07,0.1,0.3,0.4,"LC","LC"
"184","FRd2",2005.234376,24,4,1,0,1,565.3256,0.01,0.2,0,0.2,"LC","LC"
"185","FRg1",6593.15449,26,18,2,3,15,252.788,0.07,0.1,0.2,0.8,"LC","LC"
"186","FRg2",3605.80829,29,241,102,224,154,153.8836,1.57,0.4,0.9,0.6,"EN","VU"
"187","FRg3",25.58366204,1,0,0,0,0,18.8332,0,0,0,0,"LC","LC"
"188","FRl1",1159.866766,19,8,0,1,6,432.6812,0.02,0,0.1,0.8,"LC","LC"
"189","FRs1",2154.65089,20,11,0,6,3,196.0464,0.06,0,0.5,0.3,"LC","LC"
"190","FRs10",44.58345309,1,56,30,55,37,2.5132,22.28,0.5,1,0.7,"CR","CR"
"191","FRs11",1846.579477,24,107,27,96,67,153.0492,0.7,0.3,0.9,0.6,"CR","VU"
"192","FRs12",4180.985879,33,97,22,80,69,195.7052,0.5,0.2,0.8,0.7,"EN","VU"
"193","FRs13",4591.980171,49,115,24,79,74,397.7656,0.29,0.2,0.7,0.6,"EN","VU"
"194","FRs14",1844.316858,24,40,10,30,21,326.5452,0.12,0.2,0.8,0.5,"LC","LC"
"195","FRs15",1248.264085,20,4,0,2,3,264.244,0.02,0,0.5,0.8,"LC","LC"
"196","FRs16",5903.943571,47,17,3,6,11,1104.1168,0.02,0.2,0.4,0.6,"LC","LC"
"197","FRs17",3237.255399,22,9,3,5,5,64.1688,0.14,0.3,0.6,0.6,"LC","LC"
"198","FRs18",424.8912812,9,1,0,1,1,118.6764,0.01,0,1,1,"LC","LC"
"199","FRs19",2107.5874,17,14,8,12,9,155.8908,0.09,0.6,0.9,0.6,"LC","LC"
"200","FRs2",717.4438879,9,25,0,10,12,104.3384,0.24,0,0.4,0.5,"LC","LC"
"201","FRs20",417.2272384,5,18,6,12,7,11.4372,1.57,0.3,0.7,0.4,"LC","LC"
"202","FRs3",12844.59637,81,22,1,2,14,3148.2664,0.01,0,0.1,0.6,"LC","LC"
"203","FRs4",1760.893134,17,27,7,17,14,211.3784,0.13,0.3,0.6,0.5,"LC","LC"
"204","FRs5",3289.691308,32,3,1,1,2,1199.1376,0,0.3,0.3,0.7,"LC","LC"
"205","FRs6",6248.108058,65,35,2,8,19,1809.988,0.02,0.1,0.2,0.5,"LC","LC"
"206","FRs7",8781.296478,57,56,12,29,36,1293.4608,0.04,0.2,0.5,0.6,"LC","LC"
"207","FRs8",4785.752309,37,131,47,94,83,616.4812,0.21,0.4,0.7,0.6,"EN","VU"
"208","FRs9",10531.74819,91,225,109,201,156,486.2376,0.46,0.5,0.9,0.7,"EN","LC"
"209","FS1",1253.141566,15,25,3,12,13,235.792,0.11,0.1,0.5,0.5,"LC","LC"
"210","FS10",8530.91948,33,0,0,0,0,305.542,0,0,0,0,"LC","LC"
"211","FS11",85.69274714,5,0,0,0,0,39.448,0,0,0,0,"LC","LC"
"212","FS12",4956.790609,10,0,0,0,0,91.0064,0,0,0,0,"LC","LC"
"213","FS13",801.0552353,4,0,0,0,0,35.1444,0,0,0,0,"LC","LC"
"214","FS14",1119.904783,8,0,0,0,0,84.9324,0,0,0,0,"LC","LC"
"215","FS2",1102.319439,13,84,15,55,53,78.3044,1.07,0.2,0.7,0.6,"CR","EN"
"216","FS3",5158.496452,42,97,23,71,57,580.8488,0.17,0.2,0.7,0.6,"EN","VU"
"217","FS4",793.4973066,10,46,3,24,25,49.5296,0.93,0.1,0.5,0.5,"LC","LC"
"218","FS5",4473.393093,33,71,11,52,42,293.0008,0.24,0.2,0.7,0.6,"EN","VU"
"219","FS6",2792.449494,19,91,20,83,41,183.1524,0.5,0.2,0.9,0.5,"EN","EN"
"220","FS7",6173.867055,8,106,17,99,38,37.4948,2.83,0.2,0.9,0.4,"EN","EN"
"221","FS9",234.5165512,2,10,6,9,2,12.3604,0.81,0.6,0.9,0.2,"LC","LC"
"222","Gd1",13760.36291,120,18,4,5,8,4202.9276,0,0.2,0.3,0.4,"LC","LC"
"223","Gd10",11951.10056,90,4,0,1,4,2753.284,0,0,0.2,1,"LC","LC"
"224","Gd2",1628.709932,19,3,1,1,2,153.586,0.02,0.3,0.3,0.7,"LC","LC"
"225","Gd3",5034.783727,54,0,0,0,0,2409.262,0,0,0,0,"LC","LC"
"226","Gd4",27746.50666,174,11,6,6,9,5993.8588,0,0.5,0.5,0.8,"LC","LC"
"227","Gd5",6787.27755,47,11,3,8,10,1116.0928,0.01,0.3,0.7,0.9,"LC","LC"
"228","Gd6",7312.49147,9,3,1,0,1,21.5476,0.14,0.3,0,0.3,"LC","LC"
"229","Gd7",8340.146353,44,10,3,3,4,1345.922,0.01,0.3,0.3,0.4,"LC","LC"
"230","Gd8",46169.09771,357,10,5,5,8,17291.3664,0,0.5,0.5,0.8,"LC","LC"
"231","Gd9",4171.145551,48,0,0,0,0,1855.9928,0,0,0,0,"LC","LC"
"232","Gh1",52010.78122,232,6,1,2,3,8138.5332,0,0.2,0.3,0.5,"LC","LC"
"233","Gh10",62463.69551,417,1,0,0,0,5813.4168,0,0,0,0,"LC","LC"
"234","Gh11",1684.969493,20,0,0,0,0,416.9716,0,0,0,0,"LC","LC"
"235","Gh12",449.7492844,9,1,0,0,1,221.1288,0,0,0,1,"LC","LC"
"236","Gh13",14437.17915,66,3,0,1,1,2123.7648,0,0,0.3,0.3,"LC","LC"
"237","Gh14",21087.15852,147,1,0,1,1,3675.5048,0,0,1,1,"LC","LC"
"238","Gh15",29449.71486,158,10,1,8,4,5468.9772,0,0.1,0.8,0.4,"LC","LC"
"239","Gh2",15310.06295,130,0,0,0,0,5660.4316,0,0,0,0,"LC","LC"
"240","Gh3",22593.86346,204,0,0,0,0,12357.1816,0,0,0,0,"LC","LC"
"241","Gh4",58590.36547,417,0,0,0,0,9249.242,0,0,0,0,"LC","LC"
"242","Gh5",7471.390087,79,0,0,0,0,2576.7764,0,0,0,0,"LC","LC"
"243","Gh6",34033.37531,254,0,0,0,0,10488.0812,0,0,0,0,"LC","LC"
"244","Gh7",22925.06983,110,0,0,0,0,1286.1452,0,0,0,0,"LC","LC"
"245","Gh8",12589.27845,16,0,0,0,0,66.1308,0,0,0,0,"LC","LC"
"246","Gh9",15417.29212,122,0,0,0,0,5306.9972,0,0,0,0,"LC","LC"
"247","Gm1",11927.0771,94,1,0,0,0,2813.2064,0,0,0,0,"LC","LC"
"248","Gm10",1196.296317,18,2,0,1,0,183.1432,0.01,0,0.5,0,"LC","LC"
"249","Gm11",51640.2252,198,17,5,10,7,4209.3672,0,0.3,0.6,0.4,"LC","LC"
"250","Gm12",23004.02852,176,12,1,9,5,3707.4124,0,0.1,0.8,0.4,"LC","LC"
"251","Gm13",7256.956417,74,2,0,1,1,2126.2596,0,0,0.5,0.5,"LC","LC"
"252","Gm14",7449.258226,67,22,7,12,15,2950.1124,0.01,0.3,0.5,0.7,"LC","LC"
"253","Gm15",11686.37436,101,13,4,6,9,1967.0736,0.01,0.3,0.5,0.7,"LC","LC"
"254","Gm16",18471.99954,155,21,7,14,13,5328.8756,0,0.3,0.7,0.6,"LC","LC"
"255","Gm17",2997.310435,30,24,9,19,8,805.2008,0.03,0.4,0.8,0.3,"LC","LC"
"256","Gm19",2594.081203,32,9,1,5,6,847.0616,0.01,0.1,0.6,0.7,"LC","LC"
"257","Gm2",13760.53633,105,1,0,0,1,2818.7752,0,0,0,1,"LC","LC"
"258","Gm20",62.29200488,2,2,1,1,1,18.3784,0.11,0.5,0.5,0.5,"LC","LC"
"259","Gm21",3456.909643,39,6,3,2,3,1192.6756,0.01,0.5,0.3,0.5,"LC","LC"
"260","Gm22",3102.104281,25,12,5,10,5,352.086,0.03,0.4,0.8,0.4,"LC","LC"
"261","Gm23",12576.35682,48,22,8,16,5,759.7868,0.03,0.4,0.7,0.2,"LC","LC"
"262","Gm24",5185.150507,4,2,0,2,1,9.3328,0.21,0,1,0.5,"LC","LC"
